date,exports_usd,murmansk,novorossiysk,primorsk,sabetta,st_petersburg,ust_luga,vanino,vladivostok,vostochny,crude_brent,ngas_us,ngas_eur,ngas_jp
2019-01-01,35484821427.807755,228.0,468.0,49.0,55.0,867.0,260.0,216.0,639.0,230.0,59.27,3.0795,7.26234323345,12.00729261726
2019-02-01,37019283292.37696,220.0,402.0,57.0,51.0,846.0,246.0,200.0,654.0,199.0,64.13,2.7171,6.0057971222,11.80658164833
2019-03-01,36186051838.33784,188.0,467.0,63.0,50.0,903.0,278.0,235.0,694.0,256.0,66.41,2.935,5.17873567413,11.2941866074
2019-04-01,37130333934.17318,177.0,363.0,99.0,56.0,873.0,247.0,211.0,669.0,208.0,71.2,2.646,4.92218081968,10.26546106987
2019-05-01,33978077109.117104,139.0,318.0,78.0,57.0,1116.0,241.0,203.0,651.0,199.0,70.53,2.6279,4.34105529405,10.14548849427
2019-06-01,34555383496.14847,136.0,291.0,82.0,56.0,1183.0,239.0,182.0,683.0,176.0,63.3,2.3965,3.58800651227,10.04237787692
2019-07-01,34084671995.015347,192.0,359.0,86.0,59.0,1234.0,236.0,201.0,657.0,177.0,64.0,2.36,3.62037140561,10.12781122427
2019-08-01,34717221196.61996,208.0,338.0,74.0,54.0,1159.0,201.0,179.0,605.0,131.0,59.25,2.2243,3.67677516041,10.86099863824
2019-09-01,34990200419.501396,179.0,378.0,84.0,60.0,1057.0,211.0,215.0,601.0,140.0,62.33,2.58,4.20525568494,10.14170040633
2019-10-01,35021051449.044,173.0,335.0,73.0,58.0,1083.0,229.0,163.0,729.0,127.0,59.37,2.3313,5.05721785787,9.98352408584
2019-11-01,34340411744.002205,192.0,369.0,70.0,51.0,1006.0,237.0,185.0,633.0,222.0,62.74,2.6505,5.15000421731,10.03950330791
2019-12-01,34211085465.981945,161.0,439.0,75.0,58.0,913.0,222.0,209.0,766.0,220.0,65.85,2.2425,4.62047221239,10.05669681144
2020-01-01,32846165133.232445,189.0,486.0,77.0,56.0,858.0,225.0,180.0,517.0,222.0,63.6,2.0305,3.63338434727,9.88695006327
2020-02-01,30068730774.011646,139.0,412.0,86.0,65.0,781.0,170.0,154.0,636.0,203.0,55.0,1.9158,2.90777364106,9.89443050553
2020-03-01,26280402360.323257,140.0,459.0,76.0,54.0,852.0,194.0,141.0,613.0,228.0,32.98,1.7927,2.71886838175,10.21299199713
2020-04-01,26174182721.040005,208.0,421.0,85.0,53.0,828.0,216.0,153.0,553.0,180.0,23.34,1.7386,2.12031866732,10.00988126196
2020-05-01,24261683384.54202,137.0,397.0,63.0,49.0,973.0,194.0,166.0,565.0,206.0,31.02,1.7525,1.57516497792,10.07552703066
2020-06-01,23727271664.68887,81.0,352.0,53.0,50.0,926.0,214.0,137.0,558.0,191.0,39.93,1.6128,1.75217111218,8.97081909187
2020-07-01,24540694219.852844,155.0,314.0,41.0,49.0,874.0,204.0,178.0,600.0,187.0,42.81,1.7352,1.80103549647,7.78644550106
2020-08-01,25002546024.532803,181.0,347.0,38.0,60.0,839.0,203.0,151.0,754.0,169.0,44.26,2.3017,2.86189667673,6.34356489532
2020-09-01,27779886186.768898,145.0,339.0,60.0,58.0,872.0,223.0,148.0,707.0,164.0,41.09,1.9186,3.95213946267,5.88384743113
2020-10-01,27365249454.163223,144.0,357.0,72.0,65.0,946.0,206.0,194.0,917.0,186.0,40.47,2.2473,4.88959040816,6.17920516176
2020-11-01,29751415394.190838,153.0,409.0,64.0,42.0,885.0,212.0,146.0,787.0,203.0,43.23,2.5881,4.83583900516,6.85550534744
2020-12-01,29434538480.15928,200.0,454.0,66.0,45.0,883.0,248.0,153.0,509.0,233.0,49.87,2.5387,5.85610629604,7.66100256305
2021-01-01,30133651604.51476,131.0,455.0,90.0,50.0,811.0,226.0,190.0,514.0,209.0,54.55,2.6655,7.2683017493,9.00378752795
2021-02-01,32189749456.590652,201.0,428.0,64.0,32.0,779.0,196.0,144.0,730.0,150.0,61.96,5.0651,6.15850716652,9.87942781216
2021-03-01,33413156503.38655,245.0,489.0,66.0,36.0,899.0,202.0,159.0,888.0,166.0,65.19,2.5645,6.12706957935,7.89505157195
2021-04-01,37927970776.036644,259.0,409.0,64.0,49.0,820.0,216.0,185.0,898.0,80.0,64.77,2.61,7.14681628809,8.2767941961
2021-05-01,39318132555.581055,241.0,367.0,47.0,53.0,927.0,230.0,142.0,831.0,48.0,68.04,2.8884,8.90875692439,8.91569451297
2021-06-01,42687275472.62659,232.0,426.0,46.0,40.0,938.0,241.0,120.0,852.0,38.0,73.07,3.2318,10.30105100564,9.61601229637
2021-07-01,45359859539.4106,327.0,390.0,53.0,49.0,999.0,272.0,124.0,854.0,35.0,74.39,3.8036,12.50994243239,10.35918836698
